Municipio,Departamento,Votos para senado 2014,Porcentaje de Oscar Ivan Zuluaga (1ra vuelta),Total (1ra vuelta),Participacion (1ra vuelta),Ganador (1ra vuelta),Porcentaje de Oscar Ivan Zuluaga (2da vuelta),Total (2da vuelta),Participacion (2da vuelta),Ganador,Censo electoral 2016,Actos terroristas,Amenaza,Desplazamiento,Homicidio,Secuestro,Vinculacion de Ninos y Adolescentes,Minas Antipersonal,Abandono o Despojo de Tierras,Afectado por el conflicto (Pares),Afectado por el conflicto (Pares)2,Votos por el No,Porcentaje No,Votos por el Si,Porcentaje Si,Votos validos,Votos totales,Cuantos salieron a votar,Abstencion,ind ruralidad 2014,Zonas de concentracion,Cultivos ilicitos,Hectareas de coca,Hectareas de amapola
Medellin,Antioquia,430064,0.3848,700732,0.4961,Zuluaga,0.6304,709359,0.5022,Zuluaga,1508418,0.76,8.93,50.46,27.62,0.15,0.06,0.01,0,Ninguno,0,431173,0.6297,253548,0.3703,684721,694784,0.4606,0.5394,0.0124,No,No,0,0
Abejorral,Antioquia,4135,0.6252,4827,0.3231,Zuluaga,0.7854,6748,0.4517,Zuluaga,15274,3.39,25.89,502.84,46.21,3.7,0.05,0.26,0,Ninguno,0,2105,0.6189,1296,0.3811,3401,3647,0.2388,0.7612,0.6576,No,No,0,0
Abriaqui,Antioquia,726,0.4076,709,0.3726,Zuluaga,0.6033,852,0.4477,Zuluaga,1938,3.86,22.17,828.92,154.22,11.08,0,0,0,Ninguno,0,332,0.6092,213,0.3908,545,572,0.2951,0.7049,0.6487,No,No,0,0
Alejandria,Antioquia,1675,0.2919,1720,0.393,Santos,0.4434,2163,0.4942,Santos,4577,8.15,49.49,1810.77,162.74,18.92,0.58,3.2,0,Ninguno,0,696,0.4188,966,0.5812,1662,1735,0.3791,0.6209,0.4809,No,No,0,0
Amaga,Antioquia,5742,0.3336,7407,0.3545,Zuluaga,0.5328,8814,0.4219,Zuluaga,22028,0.6,8.13,62.38,25.39,0.44,0.03,0,0,Ninguno,0,4139,0.6651,2084,0.3349,6223,6370,0.2892,0.7108,0.4362,No,No,0,0
Amalfi,Antioquia,2320,0.4361,3896,0.2499,Zuluaga,0.7478,4738,0.304,Zuluaga,16928,2.29,21.48,361.57,62.42,1.84,0.36,1.84,0,Intermedio,2,2304,0.6375,1310,0.3625,3614,3818,0.2255,0.7745,0.4476,No,Si,28.36,0
Andes,Antioquia,11671,0.5328,11417,0.3468,Zuluaga,0.7527,13716,0.4167,Zuluaga,34842,0.97,7.83,88.19,39.07,1,0.09,0,0,Ninguno,0,5729,0.6421,3193,0.3579,8922,9093,0.261,0.739,0.5084,No,No,0,0
Angelopolis,Antioquia,1776,0.4282,1742,0.3187,Zuluaga,0.6872,2270,0.4153,Zuluaga,5679,0.44,9.14,180.8,31.82,0.99,0,0,0,Ninguno,0,1004,0.6448,553,0.3552,1557,1589,0.2798,0.7202,0.4092,No,No,0,0
Angostura,Antioquia,2080,0.4002,2806,0.3251,Zuluaga,0.6157,3510,0.4066,Zuluaga,9154,3.38,16.73,375.09,54.27,3.65,0.36,1.42,0,Bajo,1,1089,0.607,705,0.393,1794,1935,0.2114,0.7886,0.8389,No,No,0,0
Anori,Antioquia,1308,0.2432,1920,0.188,Santos,0.418,2354,0.2304,Santos,11144,7.22,30.28,824.43,63.4,1.56,1.21,10.69,0,Alto,3,953,0.3508,1764,0.6492,2717,2984,0.2678,0.7322,0.6075,Si,Si,256.05,0
