Departamento,Votos para senado 2014,Porcentaje de Oscar Ivan Zuluaga (1ra vuelta),Total (1ra vuelta),Participacion (1ra vuelta),Porcentaje de Oscar Ivan Zuluaga (2da vuelta),Total (2da vuelta),Participacion (2da vuelta),Censo electoral 2016,Actos terroristas,Amenaza,Desplazamiento,Homicidio,Secuestro,Vinculacion de Ninos y Adolescentes,Minas Antipersonal,Abandono o Despojo de Tierras,Afectado por el conflicto (Pares)2,Votos por el No,Porcentaje No,Votos por el Si,Porcentaje Si,Votos validos,Votos totales,Cuantos salieron a votar,Abstencion,ind ruralidad 2014,Hectareas de coca,Hectareas de amapola,Resultado plebiscito
Antioquia,1246922,0.3807288,1825386,0.3579368,0.568556,1967570,0.4269376,4539316,426.99,2918.71,66906.7,7868.68,503.09,42.12,144.29,47.11,54,1057518,0.5790816,648051,0.4209184,1705569,1742139,0.3055704,0.6944296,0.5127248,2402.57,0,-0.5790816
Atlantico,734649,0.159804348,411576,0.28976087,0.168978261,692564,0.4735,1788211,1.73,22.1,345.97,97.17,1.19,0.06,0,0,0,168300,0.307308696,258121,0.692691304,426421,430989,0.235395652,0.764604348,0.1821,0,0,0.692691304
Bogota D.C.,1352265,0.2157,2514235,0.4831,0.4221,2548057,0.4896,5547172,0.17,0.33,1.46,0.57,0.03,0.01,0,0,0,1114933,0.4392,1423612,0.5608,2538545,2570359,0.4634,0.5366,0.0021,0,0,0.5608
Bolivar,527641,0.330858696,380981,0.318517391,0.386243478,533459,0.440752174,1502228,105.7,504.14,24373.61,711.09,65.14,6.87,18.49,15.68,23,137307,0.334365217,208019,0.665634783,345326,350488,0.276719565,0.723280435,0.443834783,1043.32,0,0.665634783
Boyaca,294899,0.373852846,414938,0.436465041,0.628423577,468663,0.523330081,928625,81.23,487.99,5265.06,1047.87,52.75,22.08,28.14,0,11,188170,0.502171545,188840,0.497828455,377010,387666,0.384279675,0.615720325,0.676678862,7.71,0,-0.502171545
Caldas,281790,0.462307407,362694,0.449548148,0.667322222,389538,0.510181481,778593,70.1,355.74,5761.96,824.06,24.88,4.89,9.39,0.49,1,180366,0.614762963,135540,0.385237037,315906,325680,0.364685185,0.635314815,0.49192963,0,0,-0.614762963
Caqueta,74784,0.46884375,93016,0.300575,0.5787125,106599,0.35809375,281054,109.69,1293,14902.61,1288.4,69.16,17.99,29.61,0,24,44282,0.5062125,39197,0.4937875,83479,85490,0.28409375,0.71590625,0.56109375,7712.47,0,-0.5062125
Cauca,247890,0.139035714,342444,0.370816667,0.209435714,430497,0.487535714,927398,529.21,1002.55,14318.41,1462.63,42.98,17.82,29.18,1.4,63,113776,0.275271429,235219,0.724728571,348995,361577,0.381214286,0.618785714,0.747130952,8660.1,256.3,0.724728571
Cesar,257062,0.286292,246381,0.367076,0.3555,330916,0.491628,746859,58.86,474.14,13105.12,1228.03,84.83,2.79,3.02,31.15,8,117446,0.462972,120595,0.537028,238041,243022,0.327692,0.672308,0.39372,33.27,4.9,0.537028
Cordoba,568112,0.244703333,414363,0.366733333,0.3014,591044,0.52475,1197222,44.98,335.41,6731.08,424.75,7.03,1.11,5.09,41.36,9,145611,0.333153333,225223,0.666846667,370834,378979,0.316716667,0.683283333,0.583676667,1363,0,0.666846667
