Departamento,Variable1,Variable2,pendiente,intercepto,pearson
 Tolima,PorcentajeSi,Desplazamiento,9.58E-06,0.411893788,0.075245533
 Bolivar,PorcentajeNo,VinculacionNinosAdolescentes,0.046021475,0.32749201,0.103605887
 Arauca,Abstencion,IndiceRuralidad2014,-0.062015732,0.688629213,-0.457120998
 Quindio,Abstencion,Desplazamiento,4.67E-05,0.594556972,0.241335009
 Bogota  D.C.,PorcentajeSi,AfectadoPorElConflictoPares2,0,0.5608,0
 La  Guajira,Abstencion,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.02015588,0.732188569,0.013902195
 Putumayo,PorcentajeSi,IndiceRuralidad2014,0.429011904,0.430263023,0.659104285
 Amazonas,Abstencion,HectareasDeCoca,0.000188253,0.73592472,0.107481868
 Guainia,PorcentajeSi,ActosTerroristas,-0.075565832,0.662079525,-0.068120128
 Magdalena,PorcentajeSi,VotosParaSenado2014,-2.87E-06,0.728949484,-0.399860449
 La  Guajira,PorcentajeNo,MinasAntipersonal,-0.096132675,0.386716439,-0.308592905
 Vichada,PorcentajeSi,ParticipacionSegundaVuelta,-1.601997817,1.064977205,-0.929630208
 Atlantico,PorcentajeNo,CensoElectoral2016,1.55E-07,0.295289917,0.421487216
 Vichada,PorcentajeSi,Amenaza,0.043773446,0.133194502,0.894626833
 Guaviare,PorcentajeSi,HectareasDeCoca,-2.11E-06,0.663783851,-0.007892736
 Arauca,Abstencion,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.062292692,0.638471596,0.502691732
 Caldas,PorcentajeNo,Amenaza,-0.000856512,0.62604798,-0.270881885
 Atlantico,PorcentajeSi,HectareasDeAmapola,0,0.692691304,0
 Quindio,Abstencion,HectareasDeCoca,0,0.599116667,0
 Valle  del  Cauca,PorcentajeSi,PorcentajeOscarIvanZuluagaPrimeraVuelta,-0.7069972,0.625862041,-0.65804574
 Caldas,Abstencion,ActosTerroristas,8.54E-05,0.63509318,0.010991469
 Vaupes,Abstencion,CensoElectoral2016,-3.09E-07,0.766226093,-0.035235641
 Sucre,PorcentajeNo,Amenaza,0.001963541,0.322089603,0.285661039
 Risaralda,Abstencion,ActosTerroristas,0.002158212,0.617696663,0.49558453
 Amazonas,Abstencion,VotosParaSenado2014,1.76E-07,0.737594831,0.013514698
 Norte  de  Santander,PorcentajeSi,Amenaza,0.025047782,0.283672499,0.667685204
 Atlantico,Abstencion,ParticipacionPrimeraVuelta,-0.579863919,0.932626221,-0.667496433
 Casanare,Abstencion,HectareasDeCoca,0,0.507410526,0
 Santander,Abstencion,ActosTerroristas,0.002704143,0.604182486,0.061449913
 Sucre,Abstencion,TotalPrimeraVuelta,-1.98E-07,0.65795528,-0.050214964
 Casanare,PorcentajeSi,CensoElectoral2016,-2.56E-06,0.413096339,-0.267469476
 Caldas,PorcentajeSi,PorcentajeOscarIvanZuluagaPrimeraVuelta,-0.196838446,0.476236909,-0.388697761
 Cesar,PorcentajeNo,VotosParaSenado2014,8.57E-07,0.454164606,0.142183739
 Guainia,PorcentajeSi,VinculacionNinosAdolescentes,0.301565769,0.503811618,0.665349775
 Cesar,PorcentajeSi,AbandonoODespojoDeTierras,0.00074143,0.536104179,0.029192064
 Risaralda,Abstencion,Homicidio,0.001091101,0.589427436,0.547367075
 Boyaca,PorcentajeNo,Desplazamiento,0.000258627,0.491100939,0.198602678
 Bolivar,PorcentajeSi,ActosTerroristas,0.003255474,0.65815427,0.159239982
 Cauca,Abstencion,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.294366636,0.577858239,0.346770784
 Choco,Abstencion,CensoElectoral2016,-2.66E-07,0.678848622,-0.072349024
 Guainia,Abstencion,CensoElectoral2016,-4.73E-06,0.833955452,-0.207280297
 Arauca,Abstencion,ParticipacionPrimeraVuelta,-0.148141018,0.715332489,-0.221991131
 Bolivar,PorcentajeNo,TotalPrimeraVuelta,1.03E-06,0.325862792,0.193231768
 Caldas,Abstencion,Amenaza,0.0001518,0.633314771,0.058612337
 Magdalena,PorcentajeNo,HectareasDeAmapola,0,0.304466667,0
 Arauca,PorcentajeSi,AfectadoPorElConflictoPares2,-0.11069,0.71481,-0.483002067
