Variable1,Variable2,pendiente,intercepto,pearson
 PorcentajeNo,ParticipacionSegundaVuelta,0.591802370245,0.189347170585,0.303142228761 
 PorcentajeSi,CensoElectoral2016,-1.54915151933e-08,0.525172168634,-0.0168290593044 
 PorcentajeSi,TotalSegundaVuelta,-4.14009678826e-08,0.525260496508,-0.0202386985181 
 PorcentajeNo,Desplazamiento,-8.16018717665e-05,0.499101882835,-0.228984848079 
 PorcentajeNo,MinasAntipersonal,-0.00959661621238,0.479951140744,-0.103678969769 
 PorcentajeNo,IndiceRuralidad2014,-0.136141611379,0.55126887492,-0.194883550669 
 PorcentajeSi,HectareasDeAmapola,0.00234259176562,0.523462971652,0.0746789401761 
 Abstencion,Homicidio,0.000368625046426,0.636514946232,0.137499832781 
 PorcentajeNo,Amenaza,-0.000857763532002,0.486896542043,-0.113711631226 
 PorcentajeNo,Homicidio,0.000478453724015,0.461205916088,0.0873650408784 
 Abstencion,ParticipacionPrimeraVuelta,-0.762040912904,0.942668185934,-0.807316782963 
 PorcentajeSi,PorcentajeOscarIvanZuluagaPrimeraVuelta,-0.700674247026,0.760783579912,-0.664234059854 
 PorcentajeSi,AfectadoPorElConflictoPares2,0.0638781067523,0.494695220803,0.343379665858 
 PorcentajeNo,VinculacionNinosAdolescentes,-0.0197545917899,0.480060907923,-0.085630436387 
 PorcentajeNo,ParticipacionPrimeraVuelta,0.934520537912,0.11143847468,0.484657522663 
 PorcentajeSi,HectareasDeCoca,3.91480699207e-05,0.521346511067,0.142272884474 
 PorcentajeNo,ActosTerroristas,-0.00415628320244,0.487078022876,-0.212969321272 
 Abstencion,MinasAntipersonal,0.0004194707941,0.646446041382,0.00925750294663 
 Abstencion,AfectadoPorElConflictoPares2,0.0101992784011,0.641897665136,0.112083424767 
 Abstencion,CensoElectoral2016,-2.21032031622e-08,0.647363957381,-0.0490874607838 
 Abstencion,TotalPrimeraVuelta,-7.7315716686e-08,0.647591124237,-0.0751080997743 
 PorcentajeSi,Secuestro,0.000516522488283,0.523919122205,0.0145595502153 
 PorcentajeNo,Secuestro,-0.000459203602741,0.47510320498,-0.0129536999906 
 PorcentajeSi,AbandonoODespojoDeTierras,0.000750792435612,0.524400157402,0.0111778709566 
 PorcentajeNo,AbandonoODespojoDeTierras,-0.000696679480721,0.474687157916,-0.0103801121637 
 PorcentajeSi,ParticipacionPrimeraVuelta,-0.917909380699,0.881218504324,-0.475681314841 
 PorcentajeNo,CensoElectoral2016,1.62687823049e-08,0.473912892884,0.017686863132 
 Abstencion,AbandonoODespojoDeTierras,0.000167271090729,0.646621750253,0.0050910750621 
 PorcentajeSi,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.672383185039,0.857799660859,-0.797167125932 
 PorcentajeSi,Homicidio,-0.000453434091195,0.53721241731,-0.0827336320954 
 PorcentajeNo,TotalSegundaVuelta,4.31095170334e-08,0.473825137412,0.0210899265798 
 Abstencion,VotosParaSenado2014,-8.69194682727e-08,0.647531358475,-0.0492273185872 
 Abstencion,HectareasDeAmapola,4.73031177006e-05,0.646663285218,0.0030827670426 
 PorcentajeSi,Desplazamiento,8.26093098189e-05,0.499702103435,0.23163586066 
 PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.699395673791,0.238756045764,0.663525703163 
 Abstencion,Secuestro,0.000372537425166,0.646126062374,0.0214673304198 
 Abstencion,PorcentajeOscarIvanZuluagaPrimeraVuelta,-0.0560559963398,0.665575728712,-0.108636676277 
 PorcentajeSi,Amenaza,0.000878205776219,0.511914707819,0.116333227476 
 PorcentajeNo,HectareasDeCoca,-3.89524311844e-05,0.477745560848,-0.14166943894 
 PorcentajeSi,MinasAntipersonal,0.00974612015853,0.519071362245,0.105214230671 
 PorcentajeSi,VotosParaSenado2014,-6.08813230942e-08,0.525289125848,-0.0168664542798 
 PorcentajeSi,ActosTerroristas,0.00419136893255,0.511923864226,0.214604083293 
 Abstencion,ActosTerroristas,-1.89475486203e-05,0.646745984788,-0.00198328227025 
 PorcentajeSi,ParticipacionSegundaVuelta,-0.573556154413,0.800972701216,-0.29357283014 
 PorcentajeSi,TotalPrimeraVuelta,-5.03382055372e-08,0.525286420937,-0.023920337889 
 Abstencion,Amenaza,0.000555360419032,0.638603964548,0.150394453541 
 PorcentajeNo,TotalPrimeraVuelta,5.18946000928e-08,0.473804227097,0.0246786599356 
 Abstencion,ParticipacionSegundaVuelta,-0.644335565199,0.957055833229,-0.674219683276 
 PorcentajeSi,VinculacionNinosAdolescentes,0.0202146862988,0.518916308894,0.0875582917356 
 PorcentajeNo,AfectadoPorElConflictoPares2,-0.063387595145,0.50418321091,-0.341001772919 
 PorcentajeNo,VotosParaSenado2014,6.46882324403e-08,0.473782770471,0.0179347290324 
 Abstencion,HectareasDeCoca,1.04398645129e-05,0.645794319383,0.0775632595894 
 Abstencion,IndiceRuralidad2014,0.0292734116285,0.63016195685,0.0856006812775 
 PorcentajeSi,IndiceRuralidad2014,0.129718367837,0.451466185026,0.185547859605 
 Abstencion,Desplazamiento,3.41021818087e-05,0.636369371902,0.195482720933 
 Abstencion,TotalSegundaVuelta,-6.60756011339e-08,0.647585058993,-0.0660332416584 
 Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.106330247269,0.699364628342,-0.257714449186 
 Abstencion,VinculacionNinosAdolescentes,0.00278736816972,0.645890928752,0.0246816402712 
 PorcentajeNo,HectareasDeAmapola,-0.00232692946184,0.47563759078,-0.0742360021373 
 PorcentajeNo,PorcentajeOscarIvanZuluagaSegundaVuelta,0.667041080028,0.143955661015,0.791434433106 
