Variable1,Variable2,pendiente,intercepto,pearson
 Abstencion,Actos  terroristas,-1.89475486203e-05,0.646745984788,3.9334085635e-06 
 Porcentaje  Si,Participacion  (1ra  vuelta),-0.917909380699,0.881218504324,0.226272713289 
 Porcentaje  No,Minas  Antipersonal,-0.00959661621238,0.479951140744,0.0107493287723 
 Abstencion,Votos  para  senado  2014,-8.69194682727e-08,0.647531358475,0.00242332889528 
 Porcentaje  Si,Participacion  (2da  vuelta),-0.573556154413,0.800972701216,0.0861850065966 
 Porcentaje  No,Hectareas  de  coca,-3.89524311844e-05,0.477745560848,0.0200702299295 
 Porcentaje  Si,Secuestro,0.000516522488283,0.523919122205,0.000211980502472 
 Abstencion,Afectado  por  el  conflicto  (Pares)2,0.0101992784011,0.641897665136,0.0125626941074 
 Porcentaje  No,Vinculacion  de  Ninos  y  Adolescentes,-0.0197545917899,0.480060907923,0.00733257163583 
 Abstencion,Homicidio,0.000368625046426,0.636514946232,0.0189062040148 
 Porcentaje  No,Abandono  o  Despojo  de  Tierras,-0.000696679480721,0.474687157916,0.000107746728531 
 Porcentaje  No,ind  ruralidad  2014,-0.136141611379,0.55126887492,0.0379795983214 
 Abstencion,Participacion  (2da  vuelta),-0.644335565199,0.957055833229,0.454572181317 
 Porcentaje  Si,Porcentaje  de  Oscar  Ivan  Zuluaga  (1ra  vuelta),-0.700674247026,0.760783579912,0.441206886271 
 Porcentaje  Si,Total  (2da  vuelta),-4.14009678826e-08,0.525260496508,0.000409604917705 
 Porcentaje  Si,Votos  para  senado  2014,-6.08813230942e-08,0.525289125848,0.000284477279971 
 Abstencion,Minas  Antipersonal,0.0004194707941,0.646446041382,8.5701360807e-05 
 Porcentaje  No,Total  (2da  vuelta),4.31095170334e-08,0.473825137412,0.000444785003143 
 Porcentaje  No,Censo  electoral  2016,1.62687823049e-08,0.473912892884,0.00031282512745 
 Abstencion,Hectareas  de  amapola,4.73031177006e-05,0.646663285218,9.50345263896e-06 
 Abstencion,Secuestro,0.000372537425166,0.646126062374,0.000460846275352 
 Porcentaje  No,Participacion  (1ra  vuelta),0.934520537912,0.11143847468,0.234892914274 
